"152","Digital","2","REWIND"
"153","Digital","2","CINE LATINO"
"154","Digital","2","PARAMOUNT"
"155","Digital","2","WARNER"
"156","Digital","2","WESTV"
"157","Digital","2","CINEMAX"
"158","Digital","2","SONY  "
"159","Digital","2","UNIVERSAL"
"160","Digital","2","AXN"
"161","Digital","2","SYFY"
"162","Digital","2","MIAMI TV"
"163","Digital","2","SUN CHANNEL"
"164","Digital","2","RT RUSIA"
"165","Digital","2","VIVA TV"
"166","Digital","2","TVE AMERICA"
"167","Digital","2","24H"
"168","Digital","2","CGTV ESP"
"169","Digital","2","TELESUR"
"170","Digital","2","DW"
"171","Digital","2","FRANCE 24"
"172","Digital","2","USMPTV"
"173","Digital","2","EWTN"
"174","Digital","2","ENLACE"
"175","Digital","2","NUEVO TIEMPO"
"176","Digital","2","BETHEL"
"177","Digital","2","ENTERTAINMENT"
"178","Digital","2","A&E"
"179","Digital","2","MTV"
"180","Digital","2","RETRO PLUS "
"181","Digital","2","TOP LATINO"
"182","Digital","2","KARIBEÑA"
"183","Digital","2","USMPTV MUSICA"
"184","Digital","2","TROPICAL MOON"
"185","Digital","2","MTV HIT"
"186","Digital","2","MTV"
"187","Digital","2","TELEHIT"
"188","Digital","2","RADIO Z"
"189","Digital","2","RADIO RPP"
"190","Digital","2","RADIO STUDIO92"
"191","Digital","2","RADIO OXIGENO"
"192","Digital","2","BETHEL RADIO"
"193","Digital","2","RADIO LA ZONA"
"194","Digital","2","RADIO LA MEGA"
"195","Digital","2","RADIO FELICIDAD"
"196","Digital","2","RADIO ONDA DIGITAL"
"197","Digital","2","RADIO HABANA"
"198","Digital","2","RADIO INDICICLOPEDIA"
